"rs","mse.m1","mse.m2","mean.run.time"
0,0.0185978417259785,0.122453374128206,0.042913601398468
1,0.0583396298179236,0.296252212017248,0.0461377668380737
5,0.182784908172492,0.849400529549911,0.0559962701797485
10,0.310357768309535,1.51209164374507,0.0654321980476379
20,0.39539679593292,2.11152689686389,0.0895318961143494
30,0.312039127363713,1.84602175704049,0.112087740898132
